client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,410,436,416,397,434,404,386,446,433,438
0,test_set,1800,156,179,184,182,165,202,197,171,181,183
1,train_set,4200,405,421,390,432,426,412,427,422,451,414
1,test_set,1800,184,185,187,197,191,163,188,168,158,179
2,train_set,4200,420,421,457,411,404,410,410,433,437,397
2,test_set,1800,182,176,170,166,168,196,186,171,195,190
3,train_set,4200,437,425,391,437,462,401,422,411,399,415
3,test_set,1800,189,170,173,195,176,170,188,175,192,172
4,train_set,4200,439,405,411,434,432,440,435,416,394,394
4,test_set,1800,165,183,175,188,189,180,192,175,166,187
5,train_set,4200,412,393,424,386,413,424,421,432,450,445
5,test_set,1800,183,188,199,198,172,180,163,189,165,163
6,train_set,4200,417,421,450,411,429,430,410,422,398,412
6,test_set,1800,167,181,163,200,195,168,175,170,182,199
7,train_set,4200,434,421,441,394,411,413,398,419,443,426
7,test_set,1800,178,195,172,171,154,201,182,188,164,195
8,train_set,4200,447,413,418,409,386,420,433,413,417,444
8,test_set,1800,178,182,181,184,181,191,171,170,183,179
9,train_set,4200,423,418,427,408,417,413,443,420,415,416
9,test_set,1800,174,187,171,200,195,182,173,189,177,152
