0,1,2,3,4,5,6,7,8,9,10,11
A,A,A,A,A,A,A,A,A,A,A,A
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
AA,AA,AC,AA,AA,AA,AB,AA,AB,AD,AB,AC
